"Förvärvsarbetande nattbefolkning 16- år by År, Delområde, Arbetsdelområde and Kön"

"År"	"Delområde"	"Arbetsdelområde"	"Kön"	Förvärvsarbetande nattbefolkning 16- år
"2001"	"Östra stadsdelen"	"I20-området"	"Totalt"	..
"2001"	"Marieområdet"	"Berghem"	"Totalt"	56
"2001"	"Marieområdet"	"Haga/Sandbacka"	"Totalt"	86
"2001"	"Marieområdet"	"Centrala staden"	"Totalt"	655
"2001"	"Marieområdet"	"Västerslätt"	"Totalt"	114
"2001"	"Marieområdet"	"Ersboda/Ersmark"	"Totalt"	344
"2001"	"Marieområdet"	"Backen"	"Totalt"	148
"2001"	"Marieområdet"	"Umeå västra landsbygd"	"Totalt"	29
"2001"	"Marieområdet"	"Tavelsjö"	"Totalt"	5
"2001"	"Marieområdet"	"Teg"	"Totalt"	218
"2001"	"Marieområdet"	"Umeå södra landsbygd"	"Totalt"	5
"2001"	"Marieområdet"	"Östra stadsdelen"	"Totalt"	114
"2001"	"Marieområdet"	"Marieområdet"	"Totalt"	370
"2001"	"Marieområdet"	"Universitetsområdet"	"Totalt"	852
"2001"	"Marieområdet"	"Tomteboområdet"	"Totalt"	19
"2001"	"Marieområdet"	"Holmsund"	"Totalt"	59
"2001"	"Marieområdet"	"Hörnefors"	"Totalt"	10
"2001"	"Marieområdet"	"Sävar"	"Totalt"	31
"2001"	"Marieområdet"	"Holmön"	"Totalt"	1
"2001"	"Marieområdet"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Marieområdet"	"Uppgift saknas"	"Totalt"	0
"2001"	"Marieområdet"	"Ospecificerad arbetsplats"	"Totalt"	92
"2001"	"Marieområdet"	"Arbetsplatsen saknar NYKO"	"Totalt"	23
"2001"	"Marieområdet"	"Växlande arbetskraft"	"Totalt"	5
"2001"	"Marieområdet"	"Totalt"	"Totalt"	3236
"2001"	"Marieområdet"	"I20-området"	"Totalt"	..
"2001"	"Universitetsområde"	"Berghem"	"Totalt"	2
"2001"	"Universitetsområde"	"Haga/Sandbacka"	"Totalt"	13
"2001"	"Universitetsområde"	"Centrala staden"	"Totalt"	87
"2001"	"Universitetsområde"	"Västerslätt"	"Totalt"	14
"2001"	"Universitetsområde"	"Ersboda/Ersmark"	"Totalt"	26
"2001"	"Universitetsområde"	"Backen"	"Totalt"	19
"2001"	"Universitetsområde"	"Umeå västra landsbygd"	"Totalt"	2
"2001"	"Universitetsområde"	"Tavelsjö"	"Totalt"	1
"2001"	"Universitetsområde"	"Teg"	"Totalt"	25
"2001"	"Universitetsområde"	"Umeå södra landsbygd"	"Totalt"	3
"2001"	"Universitetsområde"	"Östra stadsdelen"	"Totalt"	28
"2001"	"Universitetsområde"	"Marieområdet"	"Totalt"	17
"2001"	"Universitetsområde"	"Universitetsområdet"	"Totalt"	163
"2001"	"Universitetsområde"	"Tomteboområdet"	"Totalt"	4
"2001"	"Universitetsområde"	"Holmsund"	"Totalt"	4
"2001"	"Universitetsområde"	"Hörnefors"	"Totalt"	2
"2001"	"Universitetsområde"	"Sävar"	"Totalt"	7
"2001"	"Universitetsområde"	"Holmön"	"Totalt"	0
"2001"	"Universitetsområde"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Universitetsområde"	"Uppgift saknas"	"Totalt"	0
"2001"	"Universitetsområde"	"Ospecificerad arbetsplats"	"Totalt"	24
"2001"	"Universitetsområde"	"Arbetsplatsen saknar NYKO"	"Totalt"	2
"2001"	"Universitetsområde"	"Växlande arbetskraft"	"Totalt"	1
"2001"	"Universitetsområde"	"Totalt"	"Totalt"	444
"2001"	"Universitetsområde"	"I20-området"	"Totalt"	..
"2001"	"Tomteboområdet"	"Berghem"	"Totalt"	11
"2001"	"Tomteboområdet"	"Haga/Sandbacka"	"Totalt"	31
"2001"	"Tomteboområdet"	"Centrala staden"	"Totalt"	270
"2001"	"Tomteboområdet"	"Västerslätt"	"Totalt"	37
"2001"	"Tomteboområdet"	"Ersboda/Ersmark"	"Totalt"	100
"2001"	"Tomteboområdet"	"Backen"	"Totalt"	79
"2001"	"Tomteboområdet"	"Umeå västra landsbygd"	"Totalt"	12
"2001"	"Tomteboområdet"	"Tavelsjö"	"Totalt"	2
