komk,N07015,N00905,N00914,N00920,N00954,N00968,N02937,N02993,N07004,N07805,N07806,N07900,N07908,N07909,N07911,N07910,N07912,U07406,U01803,pt_share,N60404,U85001,U85002,U85420,U85421,U85422,U85427,U85429,Grupp,Huvudgrupp,Kommungrupp,Kommunnamn
583,109.725745,170813,71.759099,25.929325,83.9,13.721891,42.89519975,983.49,1104.107901,57.55419257,0.16888644,44.21432325,4393,10872,49.13836,18003,44,61,20.8,0.0160779621134821,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B5,B,5,Motala
584,-0.812678,173590,76.093917,39.246969,75.9,33.056796,40.6016278,181.84,1042.801029,59.10572259,0.38528817,20.89470813,3154,10515,70.432074,14838,50,60,16.6,0.0315566525978258,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,C7,C,7,Vadstena
586,23.410482,176378,77.805801,41.484494,79.6,25.978648,48.18260057,546.11,1669.402957,52.85841394,0.30098369,55.16003361,5682,11689,22.726409,12550,45,60,18.3,0.0269873934668688,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B4,B,4,Mjölby
604,83.764706,171397,80.17192,46.148782,60.7,21.461488,12.31265451,517.76,1045.803922,201.38067106,1.31752151,13.9139919,1042,5299,93.803922,15923,50,61,20.3,0.0346795448357524,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B4,B,4,Aneby
617,12.119923,186278,79.034158,24.305872,74.7,37.733273,22.36435399,420.58,944.928769,101.04056611,0.72440421,16.85909771,604,6585,38.805018,6449,46,NA,18.8,0.0258401697522655,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C7,C,7,Gnosjö
642,33.385424,175965,77.422848,45.518118,87.5,29.561348,35.16686651,200.16,1303.025998,81.57898815,0.91982144,12.96768707,2991,7598,65.492257,8378,47,NA,18.8,0.0324705027963212,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B4,B,4,Mullsjö
643,49.476082,193618,85.250939,56.944964,70.1,24.298016,33.4074029,328.52,1208.473804,85.34322361,0.38487963,56.49899027,6743,13418,47.835991,11576,44,NA,15.6,0.0764894038509874,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B4,B,4,Habo
662,-38.379828,180749,77.588892,18.793503,81.1,19.752514,25.25152144,1137.08,1055.201477,104.98871501,1.60478211,24.77105749,2173,7137,42.802912,10391,45,61,19,0.0493930862166885,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C8,C,8,Gislaved
665,137.179196,182350,82.249361,33.683875,74.7,15.583174,16.01207361,824.94,1636.308577,150.59336892,2.25137814,41.64129111,3540,8682,51.025816,12216,46,NA,17.7,0.0242861812830003,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B5,B,5,Vaggeryd
680,918.263276,185625,77.535494,10.226573,89.8,16.757966,88.35553514,1480.36,2491.406596,31.66072345,2.04155266,46.13323035,14359,16729,20.107341,17067,42,59,18.7,0.0774601351873992,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B3,B,3,Jönköping
682,65.930343,174627,75.585413,29.772192,82.5,20.141398,31.72774081,930.29,1406.559154,81.94134632,2.17470629,23.23483353,5504,7650,49.396937,14454,46,57,21,0.0632165838678553,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B5,B,5,Nässjö
683,176.866234,189527,81.107312,15.629704,78.2,21.500251,27.265625,1216,1157.5328,91.1628685,0.57928762,71.93327682,6495,10441,37.1588,13809,45,NA,16.8,0.0174426257401458,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C6,C,6,Värnamo
684,428.662595,165861,76.192171,25.71912,74.1,17.301184,16.15344967,679.05,2055.246604,159.10261482,3.70184964,28.27210633,1819,4885,60.990063,4985,48,NA,22.4,0.0375016497030143,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C7,C,7,Sävsjö
